Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,RSI,Target
2018-03-14,6.154113292694092,6.19889471019467,6.091765399615416,6.17167929637224,505496000,5.99012975692749,5.785405893325805,59.057767059848715,1
2018-03-15,6.16895866394043,6.250109421177356,6.126898687888361,6.167721814012432,401952000,6.032511281967163,5.810203371047973,59.54665712027304,1
2018-03-16,6.1971635818481445,6.2162141850524115,6.147681091117576,6.185287746320808,399456000,6.067000436782837,5.829076900482177,60.51143967966743,0
2018-03-19,5.96261739730835,6.169205778594905,5.863652889150119,6.140258960794871,713772000,6.080236911773682,5.84270565032959,49.86187511334174,1
2018-03-20,6.17489767074585,6.2137411831753395,5.965587327895085,5.965587327895085,554696000,6.0985949516296385,5.859684925079346,57.203159132565446,0
2018-03-21,6.149660587310791,6.234770111002701,6.1192287003997325,6.168463442632263,438688000,6.11522102355957,5.872895641326904,56.150538037716665,0
2018-03-22,5.983646869659424,6.132836159583547,5.9462879642314785,6.08632286651433,551196000,6.116878604888916,5.882815752029419,49.67495294671391,0
2018-03-23,5.763944149017334,5.999727016519438,5.752810616090067,5.997252845657841,735620000,6.086298227310181,5.887481355667115,42.66281094579996,1
2018-03-26,6.048717498779297,6.049954348880114,5.8364384402133345,5.888394638649025,611424000,6.073234987258911,5.8976446151733395,52.100992818316755,0
2018-03-27,5.579624652862549,6.185288047109955,5.439342459636503,6.129620360305959,1409000000,6.018334436416626,5.898970003128052,40.32556794910611,0
2018-03-28,5.47645378112793,5.675372372886608,5.368829907379764,5.545234150086528,945904000,5.95056848526001,5.899651212692261,38.276547383878295,1
2018-03-29,5.729804039001465,5.8265416656779525,5.460372694238929,5.544739932489801,916628000,5.906653022766113,5.903119707107544,45.58808575309572,0
2018-04-02,5.469031810760498,5.805511645851864,5.381200830009458,5.6592915283502645,922092000,5.833839845657349,5.90151123046875,40.296880051722205,1
2018-04-03,5.575418472290039,5.699124230223077,5.476453960323612,5.636034501313235,667432000,5.795119953155518,5.899226598739624,43.1936290190027,1
2018-04-04,5.597437858581543,5.607829096180149,5.294605955179367,5.319594474914108,789168000,5.737373971939087,5.895611963272095,43.80140288459704,0
2018-04-05,5.477197170257568,5.668941032573034,5.405695339757752,5.655828344632258,701240000,5.670127630233765,5.8870111751556395,41.20863223197644,0
2018-04-06,5.300792217254639,5.48263985570354,5.271597647094682,5.3745209414755575,662988000,5.601842164993286,5.876420211791992,37.68427256364937,1
