Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,RSI,Target
2018-03-14,42.04791641235352,42.53805170675562,41.899460952314094,42.490924073672474,117473600,41.86836166381836,40.51758338928223,57.98584302095102,1
2018-03-15,42.09740829467773,42.472081508590534,41.96073920779132,42.06206346110516,90975200,41.95437049865723,40.55099517822266,58.34285850539749,0
2018-03-16,41.948951721191406,42.20815552824538,41.85469284949225,42.09740360125407,157618800,41.99702186584473,40.58157859802246,56.78413684088414,0
2018-03-19,41.30800247192383,41.81934467481242,40.921550117889645,41.783999848007596,133787200,41.96120262145996,40.59558807373047,50.509831088297936,0
2018-03-20,41.29387283325195,41.66147348827057,41.22317956983866,41.29387283325195,78597600,41.927506637573245,40.60006813049316,50.37768055675225,0
2018-03-21,40.35835647583008,41.258505933794694,40.35599775755335,41.24672312923243,148219600,41.838904571533206,40.58888893127441,42.457233378621495,0
2018-03-22,39.788116455078125,40.690621318863954,39.72920600939137,40.0591030669939,165963200,41.64826965332031,40.56639892578125,38.48533775047348,0
2018-03-23,38.86674880981445,40.04024365734224,38.86674880981445,39.679712086140285,164115200,41.29386329650879,40.52566925048828,33.09764119682606,1
2018-03-26,40.71182632446289,40.7895885337609,39.22021360925439,39.604310813954555,150164800,41.08296508789063,40.51719436645508,48.61205628925786,0
2018-03-27,39.66792678833008,41.2726463467218,39.33331597313068,40.926252726250496,163690400,40.808912658691405,40.479346084594724,42.59381872946814,0
2018-03-28,39.229637145996094,40.06381094630235,38.92566087356404,39.41108229847523,166674000,40.52708473205566,40.43695610046387,40.335919858453785,1
2018-03-29,39.53596878051758,40.47146672700882,39.32860290957521,39.54303774469903,153594000,40.27094078063965,40.38703407287598,42.62517706727585,0
2018-04-02,39.27676010131836,39.809312688861084,38.75599391448567,39.267336014600545,150347200,40.00372161865234,40.3311767578125,41.18516918378705,1
2018-04-03,39.6797103881836,39.76454155398973,38.85260921827928,39.50297909238808,121112000,39.84089241027832,40.28713363647461,44.333492061406005,1
2018-04-04,40.43848419189453,40.53273946141442,38.82669535209121,38.852616090550384,138422000,39.75535354614258,40.265118713378904,49.7844879161545,1
